"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Greedy";"Minimal";"Minimal";"0.2057335581787521";"0.9864864864864865";"0.42508768936162145";"0.0005414185165132648";"1"
"Greedy";"Minimal";"Median";"0.2057335581787521";"0.9864864864864865";"0.42508768936162145";"0.0016242555495397943";"1"
"Greedy";"Median";"Minimal";"0.19898819561551434";"0.9459459459459459";"0.43237965227613145";"0.004331348132106118";"1"
"Greedy";"Median";"Median";"0.19898819561551434";"0.918918918918919";"0.43246686764120357";"0.02273957769355712";"1"
"Greedy";"Median";"Maximum";"0.19898819561551434";"0.9459459459459459";"0.43246686764120357";"0.0484569572279372";"1"
"Greedy";"Maximum";"Minimal";"0.19898819561551434";"1.0";"0.43238344424852587";"0.011640498105035191";"1"
"Greedy";"Maximum";"Median";"0.4317032040472175";"0.581081081081081";"0.611212862370362";"0.43069842988630214";"1"
"Bipartite";"Maximum";"Minimal";"0.19898819561551434";"0.918918918918919";"0.43238344424852587";"0.012181916621548458";"1"
"Random";"Minimal";"Minimal";"0.5227655986509275";"0.527027027027027";"0.4791839675407163";"0.18543584190579318";"1"
"Random";"Minimal";"Median";"0.5126475548060708";"0.6081081081081081";"0.49230419202548203";"0.2141310232809962";"1"
"Random";"Minimal";"Maximum";"0.224283305227656";"0.8243243243243243";"1.0";"1.0";"1"
"Random";"Median";"Minimal";"0.23777403035413153";"0.9054054054054054";"0.9622509148133401";"0.42420140768814296";"1"
"Random";"Median";"Median";"0.8532883642495784";"0.20270270270270271";"0.11664865479779307";"0.14780725500812128";"1"
"Random";"Median";"Maximum";"0.4300168634064081";"0.7432432432432432";"0.7281421231253437";"0.7677314564158094";"1"
"Random";"Maximum";"Minimal";"0.4317032040472175";"0.7027027027027027";"0.611212862370362";"0.43069842988630214";"1"
"Random";"Maximum";"Median";"0.8465430016863407";"0.22972972972972974";"0.1224541645336822";"0.18868435300487277";"1"
"Random";"Maximum";"Maximum";"0.8566610455311973";"0.20270270270270271";"0.13267732210909505";"0.3492149431510558";"1"
"Scratch";"";"";"1.0";"0.12162162162162163";"0.0034013992378135486";"0.35083919870059554";"1"
