"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"9";"57874";"2";"56506";"343";"460";"0";"13857";"0";"138570";"0";"0";"0"
"Random";"Minimal";"Minimal";"9";"8685";"0";"8161";"160";"190";"0";"1856";"0";"18560";"0";"0";"0"
"Random";"Minimal";"Maximum";"9";"11104";"0";"10132";"176";"356";"0";"3512";"0";"35120";"0";"0";"0"
"Random";"Minimal";"Median";"9";"9116";"1";"8256";"250";"339";"0";"1697";"0";"16970";"0";"0";"0"
"Random";"Maximum";"Minimal";"9";"10677";"0";"10186";"73";"172";"0";"3583";"0";"35830";"0";"0";"0"
"Random";"Maximum";"Maximum";"9";"12904";"0";"12290";"123";"213";"0";"5248";"0";"52480";"0";"0";"0"
"Random";"Maximum";"Median";"9";"12395";"1";"11186";"199";"432";"0";"4569";"0";"45690";"0";"0";"0"
"Random";"Median";"Minimal";"9";"10795";"1";"8141";"392";"930";"0";"1890";"0";"18900";"0";"0";"0"
"Random";"Median";"Maximum";"9";"12194";"0";"10970";"222";"452";"0";"4277";"0";"42770";"0";"0";"0"
"Random";"Median";"Median";"9";"10952";"1";"9163";"472";"689";"0";"2403";"0";"24030";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"9";"7290";"1";"434";"619";"2279";"0";"421";"0";"4210";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"9";"6897";"1";"790";"777";"2104";"0";"1778";"0";"17780";"0";"0";"0"
"Greedy";"Minimal";"Median";"9";"6741";"1";"601";"725";"2138";"0";"434";"0";"4340";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"9";"7022";"1";"790";"757";"2132";"0";"1778";"0";"17780";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"9";"10045";"0";"9827";"7";"33";"0";"9985";"0";"99850";"0";"0";"0"
"Greedy";"Maximum";"Median";"9";"8339";"2";"2097";"825";"2221";"0";"2703";"0";"27030";"0";"0";"0"
"Greedy";"Median";"Minimal";"9";"6839";"1";"624";"697";"2087";"0";"456";"0";"4560";"0";"0";"0"
"Greedy";"Median";"Maximum";"9";"7661";"3";"2007";"777";"2015";"0";"2762";"0";"27620";"0";"0";"0"
"Greedy";"Median";"Median";"9";"4507";"0";"1800";"177";"851";"0";"1155";"0";"11550";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"9";"9928";"0";"9181";"69";"247";"0";"4867";"0";"48670";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"9";"10740";"0";"10552";"31";"51";"0";"8131";"0";"81310";"0";"0";"0"
"Bipartite";"Minimal";"Median";"9";"9990";"0";"9494";"35";"147";"0";"4849";"0";"48490";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"9";"10711";"1";"10529";"37";"56";"0";"8251";"0";"82510";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"9";"20630";"0";"20037";"52";"199";"0";"18852";"0";"188520";"0";"0";"0"
"Bipartite";"Maximum";"Median";"9";"11499";"1";"11332";"25";"55";"0";"8480";"0";"84800";"0";"0";"0"
"Bipartite";"Median";"Minimal";"9";"9761";"0";"9430";"39";"115";"0";"4848";"0";"48480";"0";"0";"0"
"Bipartite";"Median";"Maximum";"9";"11431";"1";"11406";"3";"6";"0";"8522";"0";"85220";"0";"0";"0"
"Bipartite";"Median";"Median";"9";"10242";"0";"9619";"49";"204";"0";"5026";"0";"50260";"0";"0";"0"
