"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"8";"239";"0";"160";"3";"25";"0";"116";"0";"1160";"0";"0";"0"
"Random";"Minimal";"Minimal";"8";"98";"0";"85";"0";"4";"0";"50";"0";"500";"0";"0";"0"
"Random";"Minimal";"Maximum";"8";"98";"0";"94";"0";"1";"0";"55";"0";"550";"0";"0";"0"
"Random";"Minimal";"Median";"8";"105";"0";"89";"0";"5";"0";"47";"0";"470";"0";"0";"0"
"Random";"Maximum";"Minimal";"8";"98";"0";"94";"0";"1";"0";"55";"0";"550";"0";"0";"0"
"Random";"Maximum";"Maximum";"8";"105";"0";"95";"0";"2";"0";"57";"0";"570";"0";"0";"0"
"Random";"Maximum";"Median";"8";"108";"0";"93";"0";"4";"0";"53";"0";"530";"0";"0";"0"
"Random";"Median";"Minimal";"8";"97";"0";"89";"0";"3";"0";"47";"0";"470";"0";"0";"0"
"Random";"Median";"Maximum";"8";"106";"0";"93";"0";"4";"0";"53";"0";"530";"0";"0";"0"
"Random";"Median";"Median";"8";"118";"0";"90";"0";"9";"0";"52";"0";"520";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"8";"7";"0";"1";"0";"0";"0";"1";"0";"10";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"8";"12";"0";"2";"0";"2";"0";"2";"0";"20";"0";"0";"0"
"Greedy";"Minimal";"Median";"8";"9";"0";"2";"0";"1";"0";"2";"0";"20";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"8";"15";"0";"2";"0";"3";"0";"2";"0";"20";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"8";"39";"0";"24";"0";"3";"0";"42";"0";"420";"0";"0";"0"
"Greedy";"Maximum";"Median";"8";"27";"0";"14";"0";"3";"0";"24";"0";"240";"0";"0";"0"
"Greedy";"Median";"Minimal";"8";"9";"0";"2";"0";"1";"0";"2";"0";"20";"0";"0";"0"
"Greedy";"Median";"Maximum";"8";"28";"0";"14";"0";"3";"0";"24";"0";"240";"0";"0";"0"
"Greedy";"Median";"Median";"8";"23";"0";"12";"0";"1";"0";"17";"0";"170";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"8";"193";"0";"191";"0";"1";"0";"153";"0";"1530";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"8";"200";"0";"200";"0";"0";"0";"168";"0";"1680";"0";"0";"0"
"Bipartite";"Minimal";"Median";"8";"193";"0";"193";"0";"0";"0";"157";"0";"1570";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"8";"200";"0";"200";"0";"0";"0";"168";"0";"1680";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"8";"261";"0";"254";"0";"2";"0";"225";"0";"2250";"0";"0";"0"
"Bipartite";"Maximum";"Median";"8";"221";"0";"214";"0";"2";"0";"179";"0";"1790";"0";"0";"0"
"Bipartite";"Median";"Minimal";"8";"193";"0";"193";"0";"0";"0";"157";"0";"1570";"0";"0";"0"
"Bipartite";"Median";"Maximum";"8";"221";"0";"214";"0";"2";"0";"179";"0";"1790";"0";"0";"0"
"Bipartite";"Median";"Median";"8";"209";"0";"205";"0";"1";"0";"165";"0";"1650";"0";"0";"0"
