"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"87";"48292";"10";"48292";"0";"0";"0";"9169";"0";"91690";"269";"0";"2690"
"Random";"Minimal";"Minimal";"47";"27756";"8";"24624";"50";"677";"0";"1275";"0";"12750";"7";"7";"140"
"Random";"Minimal";"Maximum";"47";"31905";"8";"27739";"18";"949";"0";"1759";"0";"17590";"2";"2";"40"
"Random";"Minimal";"Median";"47";"28698";"8";"24801";"32";"808";"0";"1339";"0";"13390";"7";"7";"140"
"Random";"Maximum";"Minimal";"47";"30673";"6";"27981";"51";"630";"0";"1821";"0";"18210";"2";"2";"40"
"Random";"Maximum";"Maximum";"47";"42440";"9";"37459";"31";"1123";"0";"2572";"0";"25720";"2";"2";"40"
"Random";"Maximum";"Median";"46";"37635";"9";"32688";"75";"1097";"0";"2232";"0";"22320";"8";"8";"160"
"Random";"Median";"Minimal";"45";"33237";"10";"26282";"38";"1489";"0";"1417";"0";"14170";"15";"15";"300"
"Random";"Median";"Maximum";"46";"37284";"9";"32832";"17";"960";"0";"2154";"0";"21540";"10";"10";"200"
"Random";"Median";"Median";"46";"34753";"8";"28282";"15";"1420";"0";"1536";"0";"15360";"4";"4";"80"
"Greedy";"Minimal";"Minimal";"49";"4605";"7";"539";"24";"622";"0";"153";"0";"1530";"1";"1";"20"
"Greedy";"Minimal";"Maximum";"49";"5647";"8";"703";"28";"815";"0";"438";"0";"4380";"1";"1";"20"
"Greedy";"Minimal";"Median";"49";"5317";"6";"688";"38";"827";"0";"224";"0";"2240";"1";"1";"20"
"Greedy";"Maximum";"Minimal";"49";"5572";"9";"694";"14";"794";"0";"446";"0";"4460";"4";"4";"80"
"Greedy";"Maximum";"Maximum";"45";"13307";"10";"7101";"62";"1069";"0";"1355";"0";"13550";"7";"7";"140"
"Greedy";"Maximum";"Median";"48";"6747";"9";"1733";"63";"857";"0";"872";"0";"8720";"7";"7";"140"
"Greedy";"Median";"Minimal";"48";"8411";"10";"836";"45";"1645";"0";"259";"0";"2590";"9";"9";"180"
"Greedy";"Median";"Maximum";"49";"5889";"9";"1505";"18";"638";"0";"833";"0";"8330";"7";"7";"140"
"Greedy";"Median";"Median";"49";"5530";"7";"1518";"16";"643";"0";"376";"0";"3760";"1";"1";"20"
"Bipartite";"Minimal";"Minimal";"47";"61376";"8";"57587";"50";"881";"0";"22277";"0";"222770";"7";"7";"140"
"Bipartite";"Minimal";"Maximum";"48";"62271";"7";"59295";"44";"747";"0";"23255";"0";"232550";"1";"1";"20"
"Bipartite";"Minimal";"Median";"47";"61348";"10";"57792";"3";"716";"0";"22309";"0";"223090";"7";"7";"140"
"Bipartite";"Maximum";"Minimal";"46";"66607";"9";"61940";"17";"998";"0";"23453";"0";"234530";"9";"9";"180"
"Bipartite";"Maximum";"Maximum";"47";"80065";"10";"75745";"32";"1057";"0";"24169";"0";"241690";"8";"8";"160"
"Bipartite";"Maximum";"Median";"47";"69447";"9";"65828";"27";"760";"0";"23748";"0";"237480";"5";"5";"100"
"Bipartite";"Median";"Minimal";"47";"60758";"9";"57458";"14";"688";"0";"22342";"0";"223420";"1";"1";"20"
"Bipartite";"Median";"Maximum";"47";"69729";"10";"65986";"12";"783";"0";"23765";"0";"237650";"10";"10";"200"
"Bipartite";"Median";"Median";"47";"64384";"9";"60738";"48";"822";"0";"22524";"0";"225240";"7";"7";"140"
