"init";"source";"destination";"k";"time";"iterations";"hits";"conflicts"
"Random";"Minimal";"Minimal";"0.3800085646940045";"0.4743356297259328";"0.4636390600841365";"0.9230769230769231";"0.21457185866000453"
"Random";"Minimal";"Maximum";"0.3830344146801436";"0.530870918144837";"0.49247726066709735";"0.9160839160839161";"0.3562338862186569"
"Random";"Minimal";"Median";"0.3792850005311514";"0.532874293339254";"0.4690830987511299";"0.9285714285714286";"0.23492691993213863"
"Random";"Maximum";"Minimal";"0.4201196583379062";"0.5293126326588798";"0.501784069238005";"0.9381868131868132";"0.30146968327448326"
"Random";"Maximum";"Maximum";"0.4032578156952346";"0.4665204743266373";"0.5055456919945184";"0.9285714285714286";"0.32632791279461654"
"Random";"Maximum";"Median";"0.4202338239834511";"0.48552791146906965";"0.4782747484040906";"0.9230769230769231";"0.28558810180697985"
"Random";"Median";"Minimal";"0.38670347798067056";"0.5138087232499535";"0.4888843680443502";"0.9131868131868133";"0.2488422731087748"
"Random";"Median";"Maximum";"0.411372855500504";"0.5421419658903063";"0.5466953260294733";"0.9381868131868132";"0.35259482519263485"
"Random";"Median";"Median";"0.39075700135086006";"0.46888241512910156";"0.4636977760484497";"0.9230769230769231";"0.2549907626711498"
"Bipartite";"Minimal";"Minimal";"0.3011155945063149";"0.5509010834995155";"0.6120390201857713";"0.8839285714285715";"0.7306558288086634"
"Bipartite";"Minimal";"Maximum";"0.3301252853469097";"0.43709098676609065";"0.5989402960332764";"0.8763528138528139";"0.8109346857211542"
"Bipartite";"Minimal";"Median";"0.3709449928102482";"0.4667673162152495";"0.59004160106012";"0.8971861471861473";"0.7543316877380007"
"Bipartite";"Maximum";"Minimal";"0.3507928461739201";"0.531869472125643";"0.5706819983150092";"0.9018897768897769";"0.7187211111090909"
"Bipartite";"Maximum";"Maximum";"0.32549623812084133";"0.45224916513061086";"0.6660323603309913";"0.8561507936507936";"0.9214907562980006"
"Bipartite";"Maximum";"Median";"0.3658100107466807";"0.4756399755264446";"0.5863164881161911";"0.8621031746031745";"0.8249845339773841"
"Bipartite";"Median";"Minimal";"0.3654087971919468";"0.515080400777021";"0.5678281035062424";"0.8694083694083693";"0.7432025369004761"
"Bipartite";"Median";"Maximum";"0.34218636413545284";"0.5112665481406603";"0.5893384339662299";"0.8700396825396824";"0.8409894555666928"
"Bipartite";"Median";"Median";"0.32880939179171476";"0.5239634805347664";"0.5266032656856087";"0.8664164941338854";"0.6815903680636833"
"Scratch";"";"";"0.8894455470385794";"0.8323666519609083";"0.7781220698561295";"0.9215784215784216";"0.7127272972788135"
"Greedy";"Minimal";"Minimal";"0.3267763426650895";"0.5304110520191154";"0.1923319897748312";"1.0";"0.02714782437403896"
"Greedy";"Minimal";"Maximum";"0.3102673922323599";"0.46562771863613284";"0.1485211270375159";"0.9732142857142857";"0.03501218020093581"
"Greedy";"Minimal";"Median";"0.2830136764174637";"0.48683797662085315";"0.16195789524737308";"0.9560439560439561";"0.030582322453923724"
"Greedy";"Maximum";"Minimal";"0.29602437642953294";"0.49387263767318257";"0.19312925589131835";"1.0";"0.05805940522208335"
"Greedy";"Maximum";"Maximum";"0.3073257801907004";"0.44909580208643174";"0.18644698937668627";"0.9895833333333334";"0.163188266364759"
"Greedy";"Maximum";"Median";"0.3188910924425151";"0.44710970218634355";"0.18233877052102782";"0.9608163575554881";"0.1112604843728716"
"Greedy";"Median";"Minimal";"0.3173701913434315";"0.4758876325768252";"0.1632765370509617";"0.9711538461538461";"0.021564954300986153"
"Greedy";"Median";"Maximum";"0.2882601544482645";"0.5572080153337899";"0.18854347844710256";"0.9711538461538461";"0.09662493725009721"
"Greedy";"Median";"Median";"0.2902849283317994";"0.49132592230379935";"0.1785622627146401";"0.9682817182817184";"0.060448798406952636"
