"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"16";"24375";"1";"22729";"20";"329";"0";"4240";"0";"42400";"6";"24";"300"
"Random";"Minimal";"Minimal";"16";"3489";"0";"2482";"12";"228";"0";"333";"0";"3330";"11";"34";"450"
"Random";"Minimal";"Maximum";"16";"3600";"0";"2741";"8";"204";"0";"379";"0";"3790";"9";"42";"510"
"Random";"Minimal";"Median";"16";"3600";"0";"2741";"8";"204";"0";"379";"0";"3790";"8";"24";"320"
"Random";"Maximum";"Minimal";"16";"5345";"0";"2994";"16";"512";"0";"444";"0";"4440";"11";"35";"460"
"Random";"Maximum";"Maximum";"16";"6136";"0";"3552";"46";"644";"0";"570";"0";"5700";"11";"41";"520"
"Random";"Maximum";"Median";"16";"4187";"0";"2703";"14";"322";"0";"376";"0";"3760";"11";"39";"500"
"Random";"Median";"Minimal";"16";"4187";"0";"2703";"14";"322";"0";"376";"0";"3760";"14";"42";"560"
"Random";"Median";"Maximum";"16";"5228";"0";"3468";"10";"358";"0";"547";"0";"5470";"10";"33";"430"
"Random";"Median";"Median";"16";"5622";"1";"2967";"18";"585";"0";"451";"0";"4510";"10";"26";"360"
"Greedy";"Minimal";"Minimal";"16";"3128";"1";"146";"27";"638";"0";"104";"0";"1040";"12";"33";"450"
"Greedy";"Minimal";"Maximum";"16";"1411";"0";"166";"8";"190";"0";"117";"0";"1170";"10";"27";"370"
"Greedy";"Minimal";"Median";"16";"1411";"0";"166";"8";"190";"0";"117";"0";"1170";"8";"27";"350"
"Greedy";"Maximum";"Minimal";"16";"5687";"2";"178";"60";"1208";"0";"131";"0";"1310";"8";"25";"330"
"Greedy";"Maximum";"Maximum";"16";"1811";"0";"437";"1";"215";"0";"274";"0";"2740";"8";"36";"440"
"Greedy";"Maximum";"Median";"16";"5400";"1";"385";"113";"1160";"0";"241";"0";"2410";"11";"39";"500"
"Greedy";"Median";"Minimal";"16";"1123";"0";"153";"7";"138";"0";"116";"0";"1160";"9";"32";"410"
"Greedy";"Median";"Maximum";"16";"2050";"0";"390";"14";"301";"0";"249";"0";"2490";"12";"35";"470"
"Greedy";"Median";"Median";"16";"3707";"1";"373";"25";"673";"0";"221";"0";"2210";"10";"25";"350"
"Bipartite";"Minimal";"Minimal";"16";"5955";"0";"5262";"9";"152";"0";"2210";"0";"22100";"9";"34";"430"
"Bipartite";"Minimal";"Maximum";"16";"6380";"0";"5647";"6";"152";"0";"2372";"0";"23720";"8";"41";"490"
"Bipartite";"Minimal";"Median";"16";"7077";"0";"5701";"29";"329";"0";"2381";"0";"23810";"7";"27";"340"
"Bipartite";"Maximum";"Minimal";"16";"10973";"1";"7082";"77";"938";"0";"2583";"0";"25830";"9";"32";"410"
"Bipartite";"Maximum";"Maximum";"16";"9697";"1";"6383";"37";"780";"0";"2462";"0";"24620";"10";"35";"450"
"Bipartite";"Maximum";"Median";"16";"9697";"1";"6383";"37";"780";"0";"2462";"0";"24620";"8";"27";"350"
"Bipartite";"Median";"Minimal";"16";"8943";"1";"6425";"15";"547";"0";"2500";"0";"25000";"12";"34";"460"
"Bipartite";"Median";"Maximum";"16";"8249";"1";"6009";"13";"461";"0";"2347";"0";"23470";"8";"33";"410"
"Bipartite";"Median";"Median";"16";"8249";"0";"6009";"13";"461";"0";"2347";"0";"23470";"7";"27";"340"
