"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"16";"45799";"4";"42056";"90";"699";"0";"8115";"0";"81150";"11";"18";"290"
"Random";"Minimal";"Minimal";"16";"7333";"1";"5499";"39";"396";"0";"769";"0";"7690";"11";"18";"290"
"Random";"Minimal";"Maximum";"16";"8136";"1";"6153";"25";"415";"0";"956";"0";"9560";"4";"15";"190"
"Random";"Minimal";"Median";"16";"6610";"0";"5340";"15";"247";"0";"790";"0";"7900";"6";"12";"180"
"Random";"Maximum";"Minimal";"16";"7652";"1";"6168";"30";"299";"0";"998";"0";"9980";"15";"31";"460"
"Random";"Maximum";"Maximum";"15";"18827";"9";"8129";"169";"2362";"0";"1235";"0";"12350";"0";"0";"0"
"Random";"Maximum";"Median";"16";"9382";"2";"6743";"39";"580";"0";"1085";"0";"10850";"13";"17";"300"
"Random";"Median";"Minimal";"16";"7751";"1";"5512";"78";"486";"0";"787";"0";"7870";"6";"11";"170"
"Random";"Median";"Maximum";"16";"8391";"1";"6648";"35";"405";"0";"1186";"0";"11860";"17";"25";"420"
"Random";"Median";"Median";"16";"8804";"2";"5956";"53";"612";"0";"891";"0";"8910";"10";"22";"320"
"Greedy";"Minimal";"Minimal";"16";"2689";"1";"197";"47";"515";"0";"159";"0";"1590";"8";"14";"220"
"Greedy";"Minimal";"Maximum";"16";"2933";"1";"279";"39";"490";"0";"259";"0";"2590";"7";"15";"220"
"Greedy";"Minimal";"Median";"16";"2607";"1";"257";"57";"491";"0";"213";"0";"2130";"6";"11";"170"
"Greedy";"Maximum";"Minimal";"16";"2305";"0";"292";"34";"327";"0";"253";"0";"2530";"8";"19";"270"
"Greedy";"Maximum";"Maximum";"16";"2751";"1";"877";"32";"364";"0";"588";"0";"5880";"10";"21";"310"
"Greedy";"Maximum";"Median";"16";"2371";"1";"536";"23";"345";"0";"458";"0";"4580";"10";"18";"280"
"Greedy";"Median";"Minimal";"16";"3916";"1";"257";"75";"783";"0";"215";"0";"2150";"9";"13";"220"
"Greedy";"Median";"Maximum";"16";"2483";"1";"550";"31";"374";"0";"454";"0";"4540";"4";"7";"110"
"Greedy";"Median";"Median";"16";"2116";"1";"525";"19";"267";"0";"354";"0";"3540";"6";"15";"210"
"Bipartite";"Minimal";"Minimal";"16";"12813";"1";"10358";"47";"530";"0";"4375";"0";"43750";"17";"26";"430"
"Bipartite";"Minimal";"Maximum";"16";"12628";"1";"11246";"38";"296";"0";"4819";"0";"48190";"10";"22";"320"
"Bipartite";"Minimal";"Median";"16";"12572";"2";"10482";"62";"482";"0";"4410";"0";"44100";"13";"19";"320"
"Bipartite";"Maximum";"Minimal";"16";"13364";"1";"11218";"51";"467";"0";"4792";"0";"47920";"12";"22";"340"
"Bipartite";"Maximum";"Maximum";"16";"15769";"1";"13911";"39";"430";"0";"5206";"0";"52060";"10";"23";"330"
"Bipartite";"Maximum";"Median";"16";"14219";"2";"12103";"36";"424";"0";"5011";"0";"50110";"9";"13";"220"
"Bipartite";"Median";"Minimal";"16";"12733";"3";"10567";"39";"479";"0";"4409";"0";"44090";"19";"28";"470"
"Bipartite";"Median";"Maximum";"16";"13577";"1";"12106";"13";"295";"0";"4982";"0";"49820";"6";"12";"180"
"Bipartite";"Median";"Median";"16";"13409";"1";"11187";"28";"406";"0";"4520";"0";"45200";"10";"19";"290"
